date,home,away,pred
20210117,BOS,NYK,0.43626165
20210117,DAL,CHI,0.5341452
20210117,DEN,UTA,0.18157811
20210117,SAC,NOP,0.6296401
20210117,LAC,IND,0.30142885
20210118,NYK,ORL,0.30439165
20210118,ATL,MIN,0.16380513
20210118,MIA,DET,0.3538778
20210118,POR,SAS,0.50223666
20210118,MEM,PHO,0.74210626
20210118,BRK,MIL,0.4380824
20210118,TOR,DAL,0.29627943
20210118,CHI,HOU,0.47806066
20210118,LAL,GSW,0.22027592
20210119,DEN,OKC,0.38616517
20210119,UTA,NOP,0.20361556
20210120,CLE,BRK,0.5454377
20210120,IND,DAL,0.24775438
20210120,PHI,BOS,0.27623004
20210120,ATL,DET,0.4784484
20210120,TOR,MIA,0.2774358
20210120,MIN,ORL,0.27507308
20210120,HOU,PHO,0.22887075
20210120,GSW,SAS,0.47721514
20210120,LAC,SAC,0.2504611
20210121,MIL,LAL,0.46703288
20210121,GSW,NYK,0.50814635
20210121,UTA,NOP,0.38117227
20210122,CHO,CHI,0.19263265
20210122,DET,HOU,0.545132
20210122,IND,ORL,0.2099687
20210122,CLE,BRK,0.43447557
20210122,PHI,BOS,0.32612917
20210122,TOR,MIA,0.42410663
20210122,MIN,ATL,0.37860984
20210122,SAS,DAL,0.22632305
20210122,LAC,OKC,-0.00969041
20210122,PHO,DEN,0.21404262
20210122,SAC,NYK,0.639638
20210123,UTA,GSW,0.18964565
20210123,DET,PHI,0.7957834
20210123,BRK,MIA,0.42915204
20210123,CHI,LAL,0.48481196
20210123,MIN,NOP,0.5498223
20210123,DAL,HOU,0.18099318
20210123,PHO,DEN,0.28443602
20210124,IND,TOR,0.19447806
20210124,BOS,CLE,0.24467432
20210124,LAC,OKC,0.07930435
20210124,ORL,CHO,0.61067015
20210124,SAS,WAS,0.41258633
20210124,MIL,ATL,0.28147796
20210124,POR,NYK,0.51332754
20210125,DET,PHI,0.8065637
20210125,IND,TOR,0.37115067
20210125,ORL,CHO,0.7445852
20210125,BRK,MIA,0.5208204
20210125,CLE,LAL,0.81146514
20210125,CHI,BOS,0.5742072
20210125,DAL,DEN,0.4854716
20210125,GSW,MIN,0.3617435
20210125,POR,OKC,0.10878803
20210126,ATL,LAC,0.256891
20210126,HOU,WAS,0.523121
20210126,UTA,NYK,0.09607264
20210127,CHO,IND,0.4019083
20210127,CLE,DET,0.49356514
20210127,ORL,SAC,0.39667547
20210127,ATL,BRK,0.30835268
20210127,MIA,DEN,0.56799567
20210127,PHI,LAL,0.44910944
20210127,TOR,MIL,0.7962954
20210127,NOP,WAS,0.35505575
20210127,SAS,BOS,0.44789338
20210127,PHO,OKC,0.1520414
20210127,UTA,DAL,0.23132111
20210127,GSW,MIN,0.35910067
20210128,DET,LAL,0.57482445
20210128,MIA,LAC,0.83974105
20210128,PHO,GSW,0.2538645
20210128,HOU,POR,0.34962094
20210129,CHO,IND,0.38367695
20210129,ORL,LAC,0.65327686
20210129,WAS,ATL,0.679672
20210129,NOP,MIL,0.5905412
20210129,NYK,CLE,0.27753815
20210129,TOR,SAC,0.40666196
20210129,MIN,PHI,0.8083072
20210129,OKC,BRK,0.34139937
20210129,SAS,DEN,0.4985251
20210129,UTA,DAL,0.00720295
20210130,CHI,POR,0.1747129
20210130,CHO,MIL,0.49886554
20210130,NOP,HOU,0.35886115
20210130,MIA,SAC,0.74801254
20210130,BOS,LAL,0.5255818
20210130,DAL,PHO,0.5941826
20210130,GSW,DET,0.3588882
20210130,SAS,MEM,0.8371592
20210131,DEN,UTA,0.2800213
20210131,IND,PHI,0.49465302
20210131,NYK,LAC,0.48786682
20210131,TOR,ORL,0.21769512
20210131,WAS,BRK,0.7613858
20210131,MIN,CLE,0.35442007
20210201,ATL,LAL,0.5421152
20210201,MIA,CHO,0.4065788
20210201,CHI,NYK,0.36491877
20210201,CLE,MIN,0.2844885
20210201,MIL,POR,0.17579946
20210201,NOP,SAC,0.08015595
20210201,OKC,HOU,0.4323794
20210201,DAL,PHO,0.30425006
20210201,SAS,MEM,0.9529709
20210202,ORL,TOR,0.4108342
20210202,BRK,LAC,0.6465174
20210202,IND,MEM,0.47889876
20210202,WAS,POR,0.39527407
20210202,GSW,BOS,0.3503021
20210202,UTA,DET,0.14596479
