date,home,away,pred
20201227,LAC,DAL,0.19595284
20201227,NOP,SAS,0.32768196
20201227,WAS,ORL,0.51896614
20201227,CHO,BRK,0.49418587
20201227,CLE,PHI,0.45512337
20201227,NYK,MIL,0.60990853
20201227,IND,BOS,0.46305794
20201227,CHI,GSW,0.31401009
20201227,SAC,PHO,0.48066658
20201227,LAL,MIN,0.13511604
20201228,BRK,MEM,0.40452522
20201228,ATL,DET,0.34416145
20201228,OKC,UTA,0.46513313
20201228,DEN,HOU,0.50285286
20201228,LAL,POR,0.11949104
20201229,CLE,NYK,0.33512825
20201229,DET,GSW,0.36332649
20201229,IND,BOS,0.47013802
20201229,WAS,CHI,0.440597
20201229,PHI,TOR,0.4817347
20201229,MIA,MIL,0.4036097
20201229,OKC,ORL,0.43144173
20201229,PHO,NOP,0.3244471
20201229,SAC,DEN,0.37266487
20201229,LAC,MIN,0.23527474
20201230,MIA,MIL,0.49882454
20201230,BRK,ATL,0.38359017
20201230,BOS,MEM,0.36631722
20201230,DAL,CHO,0.38407845
20201230,SAS,LAL,0.62290901
20201230,LAC,POR,0.23759407
20201231,IND,CLE,0.39506478
20201231,WAS,CHI,0.44071907
20201231,ORL,PHI,0.38125557
20201231,HOU,SAC,0.37992806
20201231,TOR,NYK,0.26884407
20201231,OKC,NOP,0.44779915
20201231,UTA,PHO,0.50035042
20210101,CHO,MEM,0.48612923
20210101,DAL,MIA,0.49299568
20210101,DET,BOS,0.6001429
20210101,BRK,ATL,0.36405892
20210101,MIL,CHI,0.21830696
20210101,MIN,WAS,0.38975472
20210101,SAS,LAL,0.66644234
20210101,DEN,PHO,0.51530403
20210101,UTA,LAC,0.48356575
20210101,GSW,POR,0.45176644
20210102,HOU,SAC,0.34916634
20210102,IND,NYK,0.28611702
20210102,ORL,OKC,0.34672493
20210102,PHI,CHO,0.32133431
20210102,ATL,CLE,0.41557259
20210102,NOP,TOR,0.42753548
20210103,DET,BOS,0.59136872
20210103,BRK,WAS,0.31557182
20210103,MEM,LAL,0.52602371
20210103,MIN,DEN,0.5614695
20210103,SAS,UTA,0.47789902
20210103,CHI,DAL,0.45320076
20210103,PHO,LAC,0.34300446
20210103,GSW,POR,0.51598648
20210104,ORL,CLE,0.43393501
20210104,PHI,CHO,0.31141533
20210104,ATL,NYK,0.35135254
20210104,MIA,OKC,0.3481604
20210104,TOR,BOS,0.37972168
20210104,HOU,DAL,0.29470276
